symbol,time,action,price,actual_price,shares,gross_value,commission,slippage_cost,net_value,gross_pnl,net_pnl,gross_return,net_return
AVAV,2024-03-05 15:41:00,BUY,165.64,165.80563999999995,330,54715.861199999985,1.6500000000000001,54.66119999998938,54717.511199999986,,,,
AVAV,2024-03-06 15:00:00,NEXT_DAY_EXIT,181.0,180.819,330,59670.27,1.6500000000000001,59.73000000000383,59668.619999999995,5068.800000000005,4951.108800000001,0.09273122434194649,0.09048490494940495
UAL,2024-03-05 16:03:00,BUY,43.505,43.548505,361,15721.010305,1.805,15.705304999998603,15722.815305,,,,
UAL,2024-03-06 15:00:00,NEXT_DAY_EXIT,44.24,44.19576,361,15954.66936,1.805,15.970640000000742,15952.86436,265.3349999999998,230.04905499999904,0.016894609814963782,0.014631543431464295
RMD,2024-03-07 15:48:00,BUY,192.54,192.73253999999997,100,19273.253999999997,1.0,19.253999999997973,19274.253999999997,,,,
RMD,2024-03-08 15:00:00,NEXT_DAY_EXIT,186.59,186.40341,100,18640.341,1.0,18.658999999999537,18639.341,-594.9999999999989,-634.9129999999984,-0.03090266957515316,-0.03294098957085438
MDB,2024-03-07 15:53:00,BUY,412.4645,412.87696449999993,59,24359.740905499995,1.0,24.33540549999657,24360.740905499995,,,,
MDB,2024-03-08 15:00:00,NEXT_DAY_EXIT,386.7784,386.39162159999995,59,22797.105674399998,1.0,22.81992560000151,22796.105674399998,-1515.4799000000007,-1564.6352311000023,-0.062274692731132036,-0.06422773581351746
ROOT,2024-03-08 15:46:00,BUY,46.3,46.34629999999999,359,16638.321699999997,1.795,16.62169999999825,16640.116699999995,,,,
ROOT,2024-03-11 15:00:00,NEXT_DAY_EXIT,43.11,43.06689,359,15461.01351,1.795,15.476489999999515,15459.21851,-1145.2099999999991,-1180.8981899999985,-0.06889848812095029,-0.07096694159602851
RACE,2024-03-12 15:40:00,BUY,424.365,424.789365,82,34832.72793,1.0,34.79792999999722,34833.72793,,,,
RACE,2024-03-13 15:00:00,NEXT_DAY_EXIT,423.5496,423.1260504,82,34696.3361328,1.0,34.7310672000001,34695.3361328,-66.8628000000009,-138.391797200001,-0.0019214591212753432,-0.003972925248716008
ORCL,2024-03-12 16:05:00,BUY,127.21,127.33720999999998,127,16171.825669999998,1.0,16.15566999999885,16172.825669999998,,,,
ORCL,2024-03-13 15:00:00,NEXT_DAY_EXIT,125.49,125.36451,127,15921.29277,1.0,15.9372299999999,15920.29277,-218.43999999999986,-252.53289999999976,-0.01352094961087964,-0.015614643053281595
CMI,2024-03-18 16:01:00,BUY,285.5,285.78549999999996,62,17718.700999999997,1.0,17.700999999997293,17719.700999999997,,,,
CMI,2024-03-19 15:42:00,NEXT_DAY_EXIT,280.4,280.1196,62,17367.4152,1.0,17.38479999999913,17366.4152,-316.2000000000014,-353.28580000000056,-0.0178633975481612,-0.019937458312643118
MSTR,2024-03-21 15:47:00,BUY,159.5,159.65949999999998,272,43427.38399999999,1.36,43.38399999999456,43428.74399999999,,,,
MSTR,2024-03-22 15:00:00,NEXT_DAY_EXIT,154.0736,153.9195264,272,41866.1111808,1.36,41.908019200001036,41864.7511808,-1475.9808000000003,-1563.9928192000013,-0.034021316614420066,-0.03601284944367724
EME,2024-03-21 15:47:00,BUY,346.55,346.89655,65,22548.27575,1.0,22.525749999998652,22549.27575,,,,
EME,2024-03-22 15:01:00,NEXT_DAY_EXIT,346.85,346.50315,65,22522.70475,1.0,22.545250000001147,22521.70475,19.50000000000074,-27.57100000000041,0.0008656759486365932,-0.0012227000239686371
DELL,2024-03-21 15:52:00,BUY,114.2896,114.40388959999999,98,11211.581180799998,1.0,11.200380799999238,11212.581180799998,,,,
DELL,2024-03-22 15:00:00,NEXT_DAY_EXIT,112.36,112.24764,98,11000.26872,1.0,11.011279999999545,10999.26872,-189.10079999999937,-213.31246079999892,-0.016883425963517183,-0.019024384961891478
M,2024-03-25 15:36:00,BUY,19.735,19.754734999999997,1967,38857.56374499999,9.835,38.818744999994436,38867.39874499999,,,,
M,2024-03-26 15:00:00,NEXT_DAY_EXIT,19.13,19.11087,1967,37591.081289999995,9.835,37.62871000000105,37581.246289999995,-1190.0350000000008,-1286.152455000002,-0.030656194578160652,-0.03309077778624061
MET,2024-03-26 16:02:00,BUY,73.06,73.13306,182,13310.21692,1.0,13.296919999999659,13311.21692,,,,
MET,2024-03-27 15:58:00,NEXT_DAY_EXIT,73.94,73.86606,182,13443.622920000002,1.0,13.457079999998768,13442.622920000002,160.15999999999917,131.4060000000004,0.012044894607172124,0.009871824701659237
LMT,2024-03-27 15:41:00,BUY,455.375,455.83037499999995,124,56522.966499999995,1.0,56.4664999999934,56523.966499999995,,,,
